icd8
00009
00019
00099
00199
00209
00219
00229
00299
00300
00301
00308
00309
00390
00391
00398
00399
00409
00419
00429
00439
00449
00489
00499
00509
00519
00529
00589
00599
00609
00690
00698
00699
00709
00719
00720
00729
00799
00809
00819
00820
00821
00829
00839
00880
00889
00890
00899
00909
00919
00920
00921
00922
00928
00929
00999
01099
01100
01101
01102
01103
01104
01105
01108
01109
01200
01201
01208
01209
01210
01211
01218
01219
01229
01239
01290
01291
01292
01299
01300
01301
01308
01309
01390
01391
01399
01400
01401
01402
01409
01509
01519
01529
01589
01599
01600
01601
01602
01603
01604
01605
01606
01608
01609
01700
01701
01702
01708
01709
01710
01718
01718
01719
01719
01729
01739
01790
01799
01809
01819
01899
01900
01901
01902
01903
01904
01908
01909
01919
01920
01921
01929
01930
01931
01932
01938
01939
01999
02009
02019
02099
02199
02299
02309
02319
02329
02399
02499
02599
02609
02619
02699
02700
02701
02708
02709
02719
02790
02799
03009
03019
03029
03039
03099
03199
03299
03309
03319
03399
03400
03401
03409
03410
03411
03419
03599
03609
03610
03611
03612
03618
03619
03689
03699
03799
03809
03819
03829
03880
03889
03899
03909
03919
03990
03991
03992
03993
03999
04000
04001
04008
04009
04199
04299
04399
04499
04509
04519
04599
04699
05009
05019
05099
05199
05200
05201
05208
05209
05300
05301
05302
05303
05308
05309
05400
05401
05402
05403
05404
05408
05409
05500
05501
05508
05509
05600
05601
05608
05609
05709
05719
05789
05799
06009
06019
06099
06199
06209
06219
06229
06239
06249
06299
06309
06319
06329
06399
06499
06599
06600
06608
06609
06709
06719
06729
06739
06749
06759
06799
06809
06819
06829
06899
07000
07000
07001
07001
07002
07002
07003
07003
07004
07005
07006
07007
07008
07008
07009
07009
07199
07200
07201
07202
07203
07204
07208
07209
07399
07409
07419
07429
07499
07499
07500
07501
07508
07509
07699
07799
07809
07819
07829
07889
07899
07909
07910
07911
07912
07918
07919
07929
07939
07949
07950
07951
07959
07980
07981
07982
07983
07984
07989
07989
07999
08099
08109
08119
08129
08199
08209
08219
08229
08299
08309
08319
08329
08389
08399
08409
08419
08429
08439
08449
08459
08480
08489
08499
08509
08519
08529
08599
08609
08689
08699
08709
08719
08789
08799
08809
08819
08899
08909
08999
09009
09019
09029
09039
09039
09049
09059
09069
09079
09099
09109
09119
09129
09139
09189
09199
09209
09299
09309
09390
09391
09392
09393
09399
09400
09401
09408
09409
09419
09490
09491
09492
09492
09493
09499
09500
09509
09699
09709
09719
09799
09800
